Bedriftsnavn; Adresse; Postnummer; Poststed; Godkjenningstyper; Organisasjonsnummer; Godkjenningsnummer
Tide Verksted AS avd. Voss; Strandavegen 367; 5710; SKULESTADMO; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED; 985538220; 6982
MIDT-NORGE MASKINSENTER AS AVD MALMEFJORDEN; HOLAMYRA; 6445; MALMEFJORDEN; TRAKTOR; 936968678; 30289
NORDFJORD BILSENTER AS; TAKLO; 6770; NORDFJORDEID; BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B; 963034334; 7148
SIGERFJORD SERVICE AS; SIGERFJORDVEIEN 2; 8406; SORTLAND; HJUL; 991883878; 29597
Auto Teknikk Enebakk AS; Osloveien 717; 1914; YTRE ENEBAKK; BILVERKSTED01, KONTROLLORGAN01; 997850831; 24220
Brovold Verksted AS; Vestringsveien 1; 2651; ØSTRE GAUSDAL; BILVERKSTEDALLE, KONTROLLORGAN01; 998539420; 18119
A AUTOPARK AS; SUNDLANDVEIEN 8; 3160; STOKKE; BILVERKSTED01, KONTROLLORGAN01; 919580526; 30584
SENTRUM  AUTO AS; Mellomvika; 8622; MO I RANA; BILVERKSTED01, KONTROLLORGAN01; 944080627; 8931
NAMSSKOGAN BILSERVICE TERJE TRONES; HÅPNESVEIEN 5; 7890; NAMSSKOGAN; HJUL; 977088720; 29422
Statoil E6 Støren; SVARTØYA 9; 7290; STØREN; HJUL; 983924840; 29705
Felleskjøpet Agri SA avd. Finnsnes; Strandveien 18; 9300; FINNSNES; TRAKTOR; 911608103; 21141
WULLUMSGÅRDEN AUTOSENTER AS; BREIDABLIKVEIEN 136; 7020; TRONDHEIM; HJUL; 955630599; 29732
Sola Auto AS; Arabergveien 2; 4050; SOLA; BILVERKSTED01B, KONTROLLORGAN01B, ALKOLASVERKSTED; 995926628; 17659
Store Norske Spitsbergen Grubekompani AS avd. Svea; ; 9175; SVEAGRUVA; BILVERKSTED01; 984015097; 14018
Lakselv Motor AS; Karasjokveien ; 9711; Lakselv; BILVERKSTED01B, KONTROLLORGAN01; 976009738; 9641
Bilforum Follo AS; Nygårdsveien 49; 1423; SKI; BILVERKSTED01, KONTROLLORGAN01; 928665879; 753
Snap Drive AS avd. Sandvika; Sandviksveien 163; 1337; Sandvika; BILVERKSTED01, KONTROLLORGAN01; 971585188; 968
HAFSLO BILSENTER AS; STOLPEN; 6869; HAFSLO; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 981923839; 7221
Star Autoco Bodø AS; Gamle Riksvei 19; 8008; BODØ; BILVERKSTED01B, KONTROLLORGAN01B; 993447323; 13460
Holmen Auto AS; Stasjonsveien 51; 0771; OSLO; BILVERKSTED01, KONTROLLORGAN01; 977482941; 1435
Yamaha Vinterbro AS; Bedriftsveien 6; 0950; OSLO; MOTORSYKKELOGMOPED; 958062265; 782
BILGLASS-SERVICE ÅSANE AS; Ervikveien 67; 5106; ØVRE ERVIK; BILGLASS; 916814666; 31521
Andersen Lakk og Karosseri AS; Longum.A.Moland; 4849; Arendal; BILSKADE; 990513309; 5303
Fylling Elektromaskin A/S; Stette Industriområde 12; 6260; Skodje; BILELEKTRODRIVSTOFFANLEGG; 991669574; 7360
Hønefoss Maskin AS, Eiksenteret i Gol; Elvevegen 5; 3550; GOL; MOTORSYKKELOGMOPED, TRAKTOR; 936372023; 16939
Bilbutikk 1 AS avd. Moss; Kvaenveien 7; 1529; Moss; BILVERKSTED01, KONTROLLORGAN01; 879639662; 515
Henning Krog Bilservice; Engstad; 1954; SETSKOG; BILVERKSTED01; 895351172; 16718
MC LEA AS; HOVEVEIEN 34; 4306; SANDNES; HENGERESPALOPSBREMSEANLEGG; 981275268; 28974
Nordic Last og Buss AS avd. Gimle; Gimlevegen 12; 9019; TROMSØ; FARTSSKRIVER, BILVERKSTED03, KONTROLLORGAN03, ALKOLASVERKSTED; 979463332; 9545
NAF Senter Hvam; Trondheimsveien 38 C; 2013; SKJETTEN; KONTROLLORGAN01B, BILVERKSTED01B; 987372540; 31502
NONSLID BIL FRAKKAGJERD AS; SKJOLDAVIKVEGEN 178; 5574; SKJOLD; BILVERKSTED01B, KONTROLLORGAN01B; 924507527; 31454
Auto 8-8 HAUKEBØ & RØDSETH AS; Enenvegen 1 A; 6402; Molde; BILVERKSTED01B, KONTROLLORGAN01B; 912511782; 7608
GUMMISERVICE PRODUKSJON AS, avd. Trondheim; Bratsbergvegen 11; 7037; TRONDHEIM; HJUL; 918167013; 29665
City Auto; ST. Croix gate 12B; 1604; Fredrikstad; BILSKADE; 953002604; 325
DEKK OG DELER AS avd. Sotra; Trollhaugmyra 10; 5353; STRAUME; HJUL; 996430022; 31024
TILHENGERSERVICE SKIEN AS; PORSGRUNNSVEGEN 192; 3735; SKIEN; HENGERESPALOPSBREMSEANLEGG; 998552591; 29873
ALTI-BILOPPRETTING AS; Odalsgata 25; 2003; LILLESTRØM; BILSKADE; 943532664; 1068
Dekkservice Vest AS; Onarheimsvegen 2; 5460; HUSNES; HJUL; 924473894; 29899
G. Eilertsen A/S; Strandgata 96; 6060; Hareid; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B, BILVERKSTED01, KONTROLLORGAN01; 963443900; 7555
DOMBÅS BIL AS; Kyrkjevegn 2; 2660; DOMBÅS; BILVERKSTED01, KONTROLLORGAN01; 983632939; 2810
Motorforum A/S Kristiansand; Barstølveien 30; 4636; KRISTIANSAND S; BILVERKSTED01B, KONTROLLORGAN01B; 940967953; 5728
Bulder verksted AS, avd. Nordkjosbotn; Skogveien 19; 9040; Nordkjosbotn; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, MOTORSYKKELOGMOPED, TRAKTOR, KONTROLLORGAN04; 993026352; 9544
Arctic Motor AS; GAMLE RIKSVEI 1-5; 8008; BODØ; MOTORSYKKELOGMOPED; 985823995; 28853
Bilhuset AS; Bjerkengveien 2; 9910; BJØRNEVATN; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 982210445; 9773
BRØDRENE SMEDSTUEN AS; Vålgutua 208; 2436; Våler; BILVERKSTED01B, KONTROLLORGAN01B; 865866372; 2425
Team Verksted Nord AS; Skattørveien 90; 9018; Tromsø; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04; 976891783; 9581
Sele Auto A/S; Selevegen 4; 4354; VOLL; BILVERKSTED01, KONTROLLORGAN01, KONTROLLORGAN01B, BILVERKSTED01B; 985054568; 6165
NORHEIM LAKKERING AS; NOREVEGEN 18; 5542; KARMSUND; BILSKADE; 971153881; 29677
Engebakken Transport A/S; Stensrudveien 10; 2335; Stange; PABYGGER; 951484148; 2001
Smart Repair Tromsø AS; Ringveien 6; 9018; TROMSØ; BILVERKSTED01, KONTROLLORGAN01; 913904737; 18579
Bogstad Bilservice AS; Nordveien 100; 1930; AURSKOG; BILVERKSTED01, KONTROLLORGAN01; 990868263; 10633
Grevskapet Auto AS; Stensrudvegen 16; 2335; STANGE; BILVERKSTED01, KONTROLLORGAN01, ALKOLASVERKSTED; 912443280; 26661
BILKOMPANIET A/S;  Midtstranda 59; 2321; Hamar; BILVERKSTED01, KONTROLLORGAN01; 965220941; 2051
Bildeler Porsgrunn AS; Hydrovegen 1C; 3933; Porsgrunn; BILVERKSTED01, KONTROLLORGAN01; 983452221; 4916
Vianor AS, avd. Verdal; Magnus den godes vei 25; 7657; VERDAL; BILVERKSTED01, KONTROLLORGAN01, HJUL; 935429447; 26702
PER AALAND A/S; Brusdalsvegen 205; 6022; Ålesund; BILVERKSTED01B, KONTROLLORGAN01B; 933240851; 7343
HJELME  BILSERVICE A/S; Kalvøyvegen 24; 6014; Ålesund; BILVERKSTED01B, KONTROLLORGAN01B; 983780954; 7411
Osen Bilskade AS; Sotå; 6453; KLEIVE; BILSKADE; 999088597; 23100
Løvdal Auto AS; Sletterød; 4823; NEDENES; BILVERKSTED01, KONTROLLORGAN01; 987191872; 5347
Romerike Bilverksted AS; Dyrskuevegen 28; 2040; KLØFTA; BILVERKSTED01B, KONTROLLORGAN01B; 913141229; 26962
EID MOTOR AS; MALAKOFF 2; 6770; NORDFJORDEID; BILVERKSTED01B, KONTROLLORGAN01B; 923340521; 7104
FURE MEKANISKE AS; FURE; 6967; HELLEVIK I FJALER; BILVERKSTED01, KONTROLLORGAN01; 985094918; 7024
Bilsenteret Namsos AS; Sivavegen 4; 7820; SPILLUM; BILVERKSTED01B, KONTROLLORGAN01B; 976097904; 8708
RØHNESELMER AS avd Asker og Bærum; Stasjonsveien 20; 1396; BILLINGSTAD; BILVERKSTED01B, KONTROLLORGAN01B; 933823970; 905
Solaris Norge AS avd. Rosenholm; Rosenholmveien 40; 1410; KOLBOTN; BILVERKSTEDALLE, KONTROLLORGAN04; 889573732; 20559
DEKKMANN AS; Verftsgt. 7; 6416; MOLDE; HJUL; 966242825; 30095
Rett Lakk AS; Bromsveien 13; 3183; HORTEN; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 988871168; 4125
RØYRVIK SCOOTER OG MASKIN AS; STADIONVEIEN 4; 7898; LIMINGEN; HJUL; 917022496; 30581
BILIA Personbil AS avd Hønefoss ; Asbjørnsens gate 21; 3503; HØNEFOSS; BILVERKSTED01, KONTROLLORGAN01; 976023188; 3320
Kjell Ore AS; Oreveien 21; 4560; VANSE; BILVERKSTED01B, HJULUTRUSTNING, KONTROLLORGAN01; 951346780; 5771
HURTIGRUTA CARGLASS ÅRNES; Pakkhusgata 3; 2150; ÅRNES; BILGLASS; 921208464; 30897
SHARIF AS; HEISSHAGEVEIEN 32; 2015; LEIRSUND; HJUL; 915197582; 31259
DAHLES AUTO HALDEN AS; DYRENDALSVEIEN 13B; 1778; HALDEN; BILVERKSTED01B, KONTROLLORGAN01B; 918490078; 30321
Stjørdal Autosalg AS; Wergelandsvegen 29 b; 7504; STJØRDAL; BILVERKSTED01; 987013168; 27421
Nordalen Landbruksservice; Mølslet; 7170; ÅFJORD; PABYGGER, TRAKTOR; 971058129; 13336
Nordmobil Rolf Nordmo; N. Lodding Gård; 2040; KLØFTA; BILVERKSTED01, BILSKADE; 971061502; 1058
DEKK1 AS avd. Lade; Falkenborgvegen 38; 7044; TRONDHEIM; HENGERESPALOPSBREMSEANLEGG, HJUL; 979579292; 28555
Monsterbike AS; Kobbervikdalen 93 B; 3036; DRAMMEN; MOTORSYKKELOGMOPED; 988809012; 11672
P.M. Agenturer; Batnfjordsøra; 6631; BATNFJORDSØRA; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 894901462; 12372
AUTOCENTERET  A/S; Liamyrane 6; 5132; NYBORG; BILVERKSTED01, KONTROLLORGAN01; 988664367; 6582
T. LØKEN BILVERKSTED AS; HOLTERVEIEN 8; 1448; DRØBAK; BILVERKSTED01; 918692983; 30475
VÅLAND BILPLEIE OG SERVICE AS; KONG CARLS GATE 19; 4010; STAVANGER; HJUL; 921703821; 31336
OPSAL OG FJELNSET AS; Kårøydalsveien 6; 7203; VINJEØRA; KONTROLLORGAN01B, BILVERKSTED01B; 932223937; 8323
Hommersåk Bil A/S; Esseveien 2; 4311; HOMMERSÅK; BILVERKSTED01, KONTROLLORGAN01; 979630344; 6154
KRAGERØ AUTO  AS; Dalaneveien 13; 3770; KRAGERØ; BILVERKSTED01B, KONTROLLORGAN01B; 916785887; 4880
Fron Diesel AS; Maskinvegen 1; 2630; RINGEBU; BILVERKSTEDALLE, FARTSSKRIVER, KONTROLLORGAN04; 899005902; 26342
AUTO 123 AS; BØVÅGEN 49; 4262; AVALDSNES; KONTROLLORGAN01, BILVERKSTED01; 924498722; 31440
Arendal Karosseri A/S  ; Håvet 1; 4838; Arendal; BILSKADE; 941575935; 5354
NEGÅRD RACING ; NORVALD STRANDS VEG 59; 2212; KONGSVINGER; MOTORSYKKELOGMOPED; 976076370; 30139
ROMERIKE DEKK AS; SKOGFARET 31; 2150; ÅRNES; HJUL; 995998971; 30077
VIKING KONTROLL AS; Vollaveien 15; 0668; OSLO; KONTROLLORGAN01; 921326408; 31204
RIIS MONTASJE AS; Lerstadvegen 510; 6011; ÅLESUND; BILGLASS; 921979436; 28234
Rebil A/S; Tornerosev 14 ; 4391; Sandnes; BILVERKSTED02, BILVERKSTED03; 950023724; 6087
Bømlo Bil AS; Hovlandsvegen 151; 5443; BØMLO; BILVERKSTED01, KONTROLLORGAN01; 921082541; 6778
Bil i Nord AS avd. Leknes; Idrettsgata 33; 8370; LEKNES; BILVERKSTED01; 983666280; 12515
NAF Senteret Mo i Rana; Ranenget 16; 8626; MO I RANA; KONTROLLORGAN01; 987372540; 8901
RYDS BILGLASS AS AVD JESSHEIM; Industriveien 21; 2050; JESSHEIM; BILGLASS; 913387783; 29537
Sørby Auto ANS; Stokke Ravei 386; 3160; STOKKE; BILVERKSTED01B, KONTROLLORGAN01B; 984423438; 4323
FORTUN BENSINSTASJON AS; FORTUN; 6877; FORTUN; BILVERKSTED01, MOTORSYKKELOGMOPED, BILSKADE, BILELEKTRODRIVSTOFFANLEGG, HJULUTRUSTNING, PABYGGER, KONTROLLORGAN01; 960552059; 7212
Autosenteret AS; Inger Floods vei 1; 3676; NOTODDEN; BILVERKSTED01, KONTROLLORGAN01; 976910915; 5110
O. L.. Engen  AS; Fløtlivegen 223; 2390; MOELV; PABYGGER; 991982132; 13558
AUTO TEKNIKK 1 AS; AUSTEVIKVEGEN 10; 4265; HÅVIK; BILSKADE; 917159858; 29989
KLÆBU BIL & BENSIN EFTF AS; RYDLANDVEGEN 2; 7540; KLÆBU; BILVERKSTED01B, KONTROLLORGAN01B; 915194206; 28932
Etac Bil AS avd. Trondheim; Brøttemsveien 103; 7072; HEIMDAL; BILVERKSTED01, BILSKADE, PABYGGER; 999065465; 23280
VIDARS AUTO REP. A/S; Industriveien 2; 1820; SPYDEBERG; BILVERKSTED01, KONTROLLORGAN01; 943625840; 3614
Møller Bil Etterstad; Grenseveien 67; 0663; OSLO; BILVERKSTED01, KONTROLLORGAN01; 917805717; 1431
SHARIF PROPERTY; LIAMYRANE 6; 5132; NYBORG; HJUL; 824034672; 31471
Notodden Bil & Speed Shop A/S; Semsvegen 48; 3676; NOTODDEN; BILVERKSTED01B, KONTROLLORGAN01B; 921376863; 5122
Norsk Scania AS avd. Lyngdal; Kvåvikveien 14; 4580; Lyngdal; FARTSSKRIVER, KONTROLLORGAN03, BILVERKSTEDALLE; 879263662; 5769
Furene Bil AS; Furene 36; 6105; VOLDA; BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN01, BILVERKSTED01, MOTORSYKKELOGMOPED; 897818132; 20659
Nordic Last & Buss AS avd. Bodø; Munnarvollvn.3; 8030; BODØ; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04, ALKOLASVERKSTED; 979463332; 9012
Motor Forum AS; Yttersøveien 1; 3255; LARVIK; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 937698917; 4637
SMART HAGE & MOTOR AS; BØ VEST; 4262; AVALDSNES; HENGERESPALOPSBREMSEANLEGG; 939707654; 29295
HOLMEN AUTO A/S; Ryggeveien 266; 1580; Rygge; BILVERKSTEDALLE, KONTROLLORGAN04, FARTSSKRIVER; 961798825; 519
TORLAND AUTOLAKK AS; BØVEGEN 10; 4365; NÆRBØ; BILGLASS; 913078853; 29646
Møller Bil Hvam; Hvamstubben 8; 2013; SKJETTEN; BILVERKSTED01B, KONTROLLORGAN01B; 964995923; 1031
THANSEN AS avd. Kristiansund; Omagata 168; 6516; KRISTIANSUND N; HJUL; 923897682; 31379
SKJØRSTAD BIL AS; Flatan 28; 7629; Ytterøy; BILVERKSTED01B, KONTROLLORGAN01B; 943635706; 8583
WASH COMPANY; BEKKEVEIEN 8; 3236; SANDEFJORD; HJUL; 914104025; 31451
Bård Henriksen Bilverksted AS; Rødmyrsvingen 99; 3736; SKIEN; BILVERKSTED01B, KONTROLLORGAN01B; 993528099; 4914
Hurtigruta Carglass AS avd. Alta; Bjørn Wirkolas vei 11; 9510; ALTA; BILGLASS; 985758220; 30299
M Nordvik AS avd. Mo i Rana; Ranenget 1; 8626; MO I RANA; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04, FARTSSKRIVER; 960852338; 8906
Bilverkstedet Kristiansand AS; Barstølveien13; 4636; KR.SAND; BILVERKSTED01, KONTROLLORGAN01; 980177246; 5646
Toyota Sørvest AS avd. bilskade; Gamlevn 83; 4315; SANDNES; BILSKADE; 937665482; 10350
Skogly Bil AS; Kvilten; 2443; Drevsjø; BILVERKSTED01B, KONTROLLORGAN01B; 995701197; 2241
Magne Gitmark & Co A/S; Tingsaker; 4790; Lillesand; PABYGGER, TRAKTOR; 976625358; 5367
MC SENTERET MOLDE AS; Fannestrandsvegen 75; 6416; MOLDE; MOTORSYKKELOGMOPED, BILVERKSTED01; 922163219; 31095
Kopervik Bensin og Storkiosk AS; Avaldsnesvegen 72; 4250; Kopervik; BILVERKSTED01; 860203782; 6490
RSA Bil Ski; Dynamitveien 19; 1400; SKI; BILVERKSTED01B, KONTROLLORGAN01B; 915518389; 10710
Nordvik AS avd. Narvik; Ankenesveien 1; 8520; ANKENES; BILVERKSTED01, KONTROLLORGAN01; 946549770; 9228
Albjerk Bil AS, Lier; RINGERIKSVN. 5; 3400; LIER; BILVERKSTED01B, KONTROLLORGAN01B; 983222838; 3625
CARGLASS AS; Kanalveien 88; 5068; BERGEN; BILGLASS; 985758220; 29236
SOGNDAL MC SENTER AS; Granden 23; 6853; SOGNDAL; MOTORSYKKELOGMOPED; 979758391; 7250
Motor Forum AS avd. Notodden; Semsvegen 35; 3676; NOTODDEN; BILVERKSTED01, KONTROLLORGAN01; 957290795; 5108
A-K Maskiner AS, avd Haugaland; Frakkagjerdevegen 96; 5563; FØRRESFJORDEN; TRAKTOR; 946468037; 22540
Askim Mc Ole-Johnny Skøien; Ramstadløkka 18; 1850; MYSEN; MOTORSYKKELOGMOPED; 874472492; 23120
Bergen MC center as; Nygårdsgaten 94; 5008; BERGEN; MOTORSYKKELOGMOPED; 929355199; 6521
Tores Auto Fyllingen A/S; Vardeveien 2; 5141; Fyllingsdalen; BILVERKSTED01, KONTROLLORGAN01; 979361432; 6729
Strømmen Bilverksted AS; Skjærvaveien 6b; 1466; STRØMMEN; BILVERKSTED01, KONTROLLORGAN01; 914144949; 27681
Eiksenteret Haugesund; Eikeskogvegen 72; 5570; AKSDAL; TRAKTOR; 936684777; 18999
Evensen Bil AS; LØKKVEIEN 3; 7530; MERÅKER; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01; 978650848; 8501
AS Normaskin Tana; Grenveien 2; 9845; Tana; BILVERKSTED01, KONTROLLORGAN01; 933693333; 9710
NAF Senteret Bodø  ; Gamle Riksvei 2; 8008; Bodø; KONTROLLORGAN01; 987372540; 9005
Voss Bil Lastebil AS; Storrviki 2; 5710; VOSS; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04; 979490895; 6965
MACO BIL AS; STRUSSHAMNVEGEN 23; 5302; STRUSSHAMN; BILVERKSTED01; 921196172; 30949
VBK A/S; Tverrmyra 3; 3185; Skoppum; BILSKADE, PABYGGER; 979340206; 4159
SØRUM TRANSPORT AS; Tretjerndalsvegen 58; 2016; FROGNER; BILVERKSTED03, KONTROLLORGAN03; 841369262; 30814
Frydenbø Bilsenter AS avd. Loddefjord; Nedbergeveien 13; 5178; LODDEFJORD; BILVERKSTED01, KONTROLLORGAN01; 967149098; 18479
CENCOM AS; SPIREAVEIEN 18; 0580; OSLO; ALKOLASVERKSTED; 953151553; 31112
TUNE KAROSSERI A.S.; Lundsvei 11/13; 1710; Sarpsborg; BILVERKSTED01, KONTROLLORGAN01; 921342624; 176
CARGLASS AS, avd. Harstad; Mercurveien 37; 9405; HARSTAD; BILGLASS; 985758220; 30118
DEKK1 AS; Strandskillet 5A; 9008; TROMSØ; HJUL; 979579292; 29491
RIPLE AUTO AS; Totlandsvegen 515; 5226; NESTTUN; BILVERKSTED01B, KONTROLLORGAN01B; 861801772; 6574
Bekkelund & Knutsen AS; Kanalgata 7; 3263; LARVIK; PABYGGER; 985384797; 11812
EXTRA SERVICEPARTNER AS avd OSLO; Brubakkveien 16; 1083; OSLO; LYSUTSTYR; 985269653; 29910
Bil & Trailer AS ; Storemyrsletta 2; 4790; LILLESAND; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04; 912756203; 25944
Harila Bil og Deler; Ramstadløkka 10; 1850; Mysen; BILVERKSTED01, KONTROLLORGAN01; 969061015; 216
Brumunddal Bil & Karosseri AS ; Ringsakervegen 19; 2380; Brumunddal; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 987656093; 2069
RYDS BILGLASS avd Halden; Knivsøveien 8; 1788; HALDEN; BILGLASS; 913387783; 31185
Wathne Last og Buss AS; Spannavegen 149; 5535; HAUGESUND; FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04; 993309680; 13536
MOTORI AS; ROGNEVEGEN 11; 4352; KLEPPE; HJUL; 918786317; 30467
Grim Maskin Service AS avd. Jessheim; Industrivegen 28; 2069; JESSHEIM; HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR; 983064957; 29849
THANSEN AS avd. Narvik; Bolagsgata 26; 8514; NARVIK; HJUL; 923897682; 31433
NAF Senter Mosjøen ; Lensegaten 18; 8656; Mosjøen; KONTROLLORGAN01, BILVERKSTED01; 987372540; 8831
BRUA  SERVICENTER  AS; Frednesøya 23; 3933; PORSGRUNN; BILVERKSTED01, KONTROLLORGAN01; 966599634; 4850
VIANOR AS Bryne; VARDHEIVEIEN 50; 4340; BRYNE; HJUL; 935429447; 29692
BENSIN- OG SERVICESENTERET AS; Johan Falkbergetsv. 8; 7374; RØROS; BILVERKSTED01, KONTROLLORGAN01; 932077299; 8369
Team Verksted Vest AS; Espehaugen 29; 5258; BLOMSTERDALEN; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, TRAKTOR; 963914083; 6637
PETTERSENS SERVICE; MAKKAURVEGEN 11; 9990; BÅTSFJORD; HJUL; 917041148; 31361
Jætåsen Bil AS; Hyllaveien 4; 7670; INDERØY; BILVERKSTED01, KONTROLLORGAN01; 984720858; 8664
Åsane Bilskadesenter AS; Litleåsvegen 65; 5132; NYBORG; BILSKADE; 983923852; 6741
GUNLEIV SLEMMELID; SKRIVARVEGEN 1; 3810; GVARV; HJUL; 980686981; 29431
Toyota Drammen AS avd. Lier; Sankt Hallvards vei 10; 3414; LIERSTRANDA; BILVERKSTED01, KONTROLLORGAN01; 947602330; 3631
HURTIGRUTA CARGLASS AVD NITTEDAL; Bjertnestangen 4; 1482; NITTEDAL; BILGLASS; 985758220; 30380
Ullsfjord  Bilservice  AS; Lakselvbuktveien 384; 9042; Laksvatn; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 835451062; 9508
Bertel O. Steen Hedmark og Oppland (AS avd. Hamar); Gjerluvegen 3; 2320; FURNES; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, BILVERKSTED01, KONTROLLORGAN01, ALKOLASVERKSTED; 919426233; 2050
Norsk Scania AS avd. Verdal; Venusvegen 10; 7652; VERDAL; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN03, ALKOLASVERKSTED; 879263662; 8569
GJELLARN LAKK AS; GJELLARN 77; 2240; MAGNOR; BILGLASS; 995366924; 29660
RITRO DA; EMIL SCHANCHES GATE 7; 7160; BJUGN; LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG, TRAKTOR, BILGLASS, HJUL; 985092826; 31209
PORSCHE CENTER ÅLESUND AS; Puskholevegen 1; 6012; ÅLESUND; KONTROLLORGAN01, BILVERKSTED01; 818145802; 30329
TRAKTOR & MASKIN AS; SAUDAVEGEN 7478; 5576; ØVRE VATS; TRAKTOR; 915493351; 30583
AUTOFILM AS; LIERVEGEN 12; 2164; SKOGBYGDA; BILGLASS; 920566146; 30934
Bil & Mekaniske AS; Industriv 3; 4380; Hauge i Dalane; BILVERKSTED01B, KONTROLLORGAN01B; 914286662; 6202
Sørkjos Storbil AS; Brennmoveien 24; 9050; STORSTEINNES; BILVERKSTED02, BILVERKSTED03, TRAKTOR, FARTSSKRIVER; 912672840; 25721
Hundorp Auto AS; Kongsvegen 709; 2647; SØR-FRON; BILVERKSTED01B, KONTROLLORGAN01B; 986891684; 2610
HANDICARE ASA; Stanseveien 27; 0976; OSLO; PABYGGER; 965395830; 1663
CARGLASS AS avd. Sandnes; Luramyrv. 1; 4314; SANDNES; BILGLASS; 985758220; 28737
KVINA AUTO AS; Kvina; 8752; Konsvikosen; BILVERKSTED01, KONTROLLORGAN01; 951935034; 8912
Bilskadesenteret Tynset AS; Glåmveien 4; 2500; Tynset; BILVERKSTED01, BILSKADE; 989879464; 2309
Vianor AS avd. Hamar; Midtstranda 77; 2321; HAMAR; BILVERKSTED01, KONTROLLORGAN01; 935429447; 19500
ÅL  AUTO AS;  Oppsjøveien 3; 3570; ÅL; BILVERKSTED01B, KONTROLLORGAN01B; 989298488; 3503
BILSKADESENTERET FAUSKE AS; Bergverksveien 9; 8201; Fauske; BILSKADE; 915589448; 9128
AUTOHUSET VALDRES AS; KONGSVEGEN 4; 2920; LEIRA I VALDRES; BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED; 923255664; 31358
Toyota Romerike AS avd. Jessheim ; Myrvegen 90; 2052; JESSHEIM; BILVERKSTED01, KONTROLLORGAN01; 922754136; 1213
Vågsbygd Bilverksted AS; BRÅVANNSLØKKA 1; 4624; KRISTIANSAND S; BILVERKSTED01, KONTROLLORGAN01; 923544054; 14140
Team Verksted Øst AS avd. Fjeldhus; Karihaugveien 102; 1086; OSLO; KONTROLLORGAN04, BILVERKSTEDALLE, FARTSSKRIVER; 989460072; 30135
Tesla Motors Norge AS avd Drammen; Co Lunds gate 56; 3043; DRAMMEN; BILVERKSTED01; 997433173; 25946
Mjøsbil AS avd. Salg Nytorvet; Trondheimsvegen 8; 2821; GJØVIK; HJUL; 950223243; 24681
Slåtta Bil  AS; ØRVELLAVEGEN 2; 3692; SAULAND; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04; 916991592; 29981
AMD Motor Sykler AS; Olav Schous vei 6; 0572; OSLO; MOTORSYKKELOGMOPED; 977102510; 11150
ALFA BILSENTER AS; Vestre Onsrud 16; 2056; ALGARHEIM; KONTROLLORGAN01, BILVERKSTED01; 915038778; 30616
Fosen Verkstedsenter AS; Vassnesset 12; 7170; ÅFJORD; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04; 993438189; 16919
MOE MEKANISKE VERKSTED, KURS OG KOMPETANSEBYGGING GEIR JOHAN HVIDSTEN; Møllebakkveien 1; 1960; LØKEN; TRAKTOR, BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01B; 995139561; 30184
NAF Senter Hamar; Gjerluvegen 1D; 2320; FURNES; KONTROLLORGAN01, BILVERKSTED01; 987372540; 2198
BERGEN TRAILER SERVICE AS; Rosslandsvegen 394; 5918; FREKHAUG; BILVERKSTED03, PABYGGER, KONTROLLORGAN03, BILVERKSTED02, KONTROLLORGAN02; 922893667; 31287
FREDRIKSTAD BIL AS; Storveien 5A; 1624; GRESSVIK; BILVERKSTED01, KONTROLLORGAN01; 982056861; 313
